order_id,date,customer_id,product_id,quantity,unit_price,revenue
ORD-00378,2025-01-01,CUS-0203,PRD-028,1,425.59,425.59
ORD-01448,2025-01-01,CUS-0245,PRD-028,2,425.59,851.18
ORD-01572,2025-01-01,CUS-0155,PRD-033,2,10.51,21.02
ORD-01637,2025-01-01,CUS-0043,PRD-010,4,13.11,52.44
ORD-00141,2025-01-02,CUS-0306,PRD-021,1,198.7,198.7
ORD-00242,2025-01-02,CUS-0332,PRD-026,5,98.58,492.9
ORD-00349,2025-01-02,CUS-0061,PRD-012,1,94.32,94.32
ORD-01005,2025-01-02,CUS-0373,PRD-032,2,70.79,141.58
ORD-00068,2025-01-03,CUS-0294,PRD-005,3,19.22,57.66
ORD-01269,2025-01-03,CUS-0186,PRD-026,8,98.58,788.64
ORD-01302,2025-01-03,CUS-0350,PRD-018,6,110.62,663.72
ORD-01582,2025-01-03,CUS-0233,PRD-035,2,26.07,52.14
ORD-01938,2025-01-03,CUS-0115,PRD-028,1,425.59,425.59
ORD-00314,2025-01-04,CUS-0390,PRD-004,1,28.11,28.11
ORD-00821,2025-01-04,CUS-0060,PRD-018,1,110.62,110.62
ORD-00898,2025-01-04,CUS-0296,PRD-016,5,131.25,656.25
ORD-01196,2025-01-04,CUS-0140,PRD-028,1,425.59,425.59
ORD-01864,2025-01-04,CUS-0130,PRD-019,1,51.1,51.1
ORD-00651,2025-01-05,CUS-0211,PRD-020,8,128.49,1027.92
ORD-00863,2025-01-05,CUS-0295,PRD-001,3,19.27,57.81
ORD-01066,2025-01-05,CUS-0081,PRD-033,3,10.51,31.53
ORD-01341,2025-01-05,CUS-0196,PRD-005,1,19.22,19.22
ORD-01442,2025-01-05,CUS-0210,PRD-035,1,26.07,26.07
ORD-00483,2025-01-06,CUS-0153,PRD-030,1,436.33,436.33
ORD-00942,2025-01-06,CUS-0360,PRD-026,3,98.58,295.74
ORD-00044,2025-01-07,CUS-0154,PRD-005,2,19.22,38.44
ORD-00463,2025-01-07,CUS-0281,PRD-001,5,19.27,96.35
ORD-00955,2025-01-07,CUS-0147,PRD-020,5,128.49,642.45
ORD-01084,2025-01-07,CUS-0015,PRD-026,4,98.58,394.32
ORD-01820,2025-01-07,CUS-0199,PRD-001,3,19.27,57.81
ORD-01855,2025-01-07,CUS-0102,PRD-017,5,69.39,346.95
ORD-01976,2025-01-07,CUS-0101,PRD-029,8,106.8,854.4
ORD-00016,2025-01-08,CUS-0336,PRD-023,5,136.35,681.75
ORD-00431,2025-01-08,CUS-0387,PRD-025,1,88.05,88.05
ORD-01932,2025-01-08,CUS-0209,PRD-030,3,436.33,1308.99
